column 1,column 2
1280,6.37e-10
1281,6.37e-10
1282,6.37e-10
1283,6.37e-10
1284,6.37e-10
1285,6.37e-10
1286,6.37e-10
1287,6.38e-10
1288,6.38e-10
1289,6.38e-10
1290,6.38e-10
1291,6.38e-10
1292,6.38e-10
1293,6.38e-10
1294,6.38e-10
1295,6.38e-10
1296,6.38e-10
1297,6.38e-10
1298,6.39e-10
1299,6.39e-10
1300,6.39e-10
1301,6.39e-10
1302,6.39e-10
1303,6.39e-10
1304,6.39e-10
1305,6.39e-10
1306,6.39e-10
1307,6.39e-10
1308,6.39e-10
1309,6.39e-10
1310,6.40e-10
1311,6.40e-10
1312,6.40e-10
1313,6.40e-10
1314,6.40e-10
1315,6.40e-10
1316,6.40e-10
1317,6.40e-10
1318,6.40e-10
1319,6.40e-10
1320,6.40e-10
1321,6.40e-10
1322,6.41e-10
1323,6.41e-10
1324,6.41e-10
1325,6.41e-10
1326,6.41e-10
1327,6.41e-10
1328,6.41e-10
1329,6.41e-10
1330,6.41e-10
1331,6.41e-10
1332,6.41e-10
1333,6.41e-10
1334,6.42e-10
1335,6.42e-10
1336,6.42e-10
1337,6.42e-10
1338,6.42e-10
1339,6.42e-10
1340,6.42e-10
1341,6.42e-10
1342,6.42e-10
1343,6.42e-10
1344,6.42e-10
1345,6.42e-10
1346,6.42e-10
1347,6.43e-10
1348,6.43e-10
1349,6.43e-10
1350,6.43e-10
1351,6.43e-10
1352,6.43e-10
1353,6.43e-10
1354,6.43e-10
1355,6.43e-10
1356,6.43e-10
1357,6.43e-10
1358,6.43e-10
1359,6.44e-10
1360,6.44e-10
1361,6.44e-10
1362,6.44e-10
1363,6.44e-10
1364,6.44e-10
1365,6.44e-10
1366,6.44e-10
1367,6.44e-10
1368,6.44e-10
1369,6.44e-10
1370,6.44e-10
1371,6.44e-10
1372,6.45e-10
1373,6.45e-10
1374,6.45e-10
1375,6.45e-10
1376,6.45e-10
1377,6.45e-10
1378,6.45e-10
1379,6.45e-10
1380,6.45e-10
1381,6.45e-10
1382,6.45e-10
1383,6.45e-10
1384,6.45e-10
1385,6.46e-10
1386,6.46e-10
1387,6.46e-10
1388,6.46e-10
1389,6.46e-10
1390,6.46e-10
1391,6.46e-10
1392,6.46e-10
1393,6.46e-10
1394,6.46e-10
1395,6.46e-10
1396,6.46e-10
1397,6.46e-10
1398,6.47e-10
1399,6.47e-10
1400,6.47e-10
1401,6.47e-10
1402,6.47e-10
1403,6.47e-10
1404,6.47e-10
1405,6.47e-10
1406,6.47e-10
1407,6.47e-10
1408,6.47e-10
1409,6.47e-10
1410,6.47e-10
1411,6.47e-10
1412,6.48e-10
1413,6.48e-10
1414,6.48e-10
1415,6.48e-10
1416,6.48e-10
1417,6.48e-10
1418,6.48e-10
1419,6.48e-10
1420,6.48e-10
1421,6.48e-10
1422,6.48e-10
1423,6.48e-10
1424,6.48e-10
1425,6.48e-10
1426,6.49e-10
1427,6.49e-10
1428,6.49e-10
1429,6.49e-10
1430,6.49e-10
1431,6.49e-10
1432,6.49e-10
1433,6.49e-10
1434,6.49e-10
1435,6.49e-10
1436,6.49e-10
1437,6.49e-10
1438,6.49e-10
1439,6.49e-10
1440,6.50e-10
1441,6.50e-10
1442,6.50e-10
1443,6.50e-10
1444,6.50e-10
1445,6.50e-10
1446,6.50e-10
1447,6.50e-10
1448,6.50e-10
1449,6.50e-10
1450,6.50e-10
1451,6.50e-10
1452,6.50e-10
1453,6.50e-10
1454,6.51e-10
1455,6.51e-10
1456,6.51e-10
1457,6.51e-10
1458,6.51e-10
1459,6.51e-10
1460,6.51e-10
1461,6.51e-10
1462,6.51e-10
1463,6.51e-10
1464,6.51e-10
1465,6.51e-10
1466,6.51e-10
